iwx_band,date,lon,lat,erc,bi,wui proximity
10,2020-01-01 09:00,-116.846975745378,32.7501659926115,9,15,0
20,2020-01-01 19:00,-116.848377537626,32.7146373910323,9,15,0
69,2020-01-03 20:00,-116.850525398857,32.8944130255139,11,15,0
73,2020-01-04 00:00,-116.841010283178,32.9898279153524,14,15,0
73,2020-01-04 00:00,-116.798294698182,32.7878679655761,11,14,0
80,2020-01-04 07:00,-116.833588876788,32.7358512788105,11,16,0
118,2020-01-05 21:00,-116.903314620924,32.9765988563012,3,12,0
135,2020-01-06 14:00,-116.799678027019,33.0208939425405,17,49,0
147,2020-01-07 02:00,-116.860509390219,32.9057793790745,22,28,0
151,2020-01-07 06:00,-116.631052283981,32.8055620862755,28,36,0
154,2020-01-07 09:00,-116.77279445207,33.0429366750471,24,29,0
155,2020-01-07 10:00,-116.64638969911,33.0568521046314,27,30,0
156,2020-01-07 11:00,-116.897146797797,33.0460556131146,27,35,0
162,2020-01-07 17:00,-116.806108098862,32.8530791731133,26,29,0
172,2020-01-08 03:00,-116.770989571245,32.8973208971105,21,27,1783.92822265625
176,2020-01-08 07:00,-116.647892962311,32.9552724721089,29,40,0
177,2020-01-08 08:00,-116.620349864118,33.0335529671988,30,38,0
180,2020-01-08 11:00,-116.767134735972,32.9299804239107,24,29,2118.13598632812
185,2020-01-08 16:00,-116.735985888629,32.7930812455446,26,49,0
188,2020-01-08 19:00,-116.605196299712,33.0225681810376,30,38,0
252,2020-01-11 11:00,-116.902279545271,33.0552922680511,20,20,0
287,2020-01-12 22:00,-116.869881759829,32.7753802966771,15,16,134.164077758789
351,2020-01-15 14:00,-116.630168230407,32.8109565333706,26,21,0
357,2020-01-15 20:00,-116.916606497957,33.1085390273399,14,14,212.132034301758
359,2020-01-15 22:00,-116.518499036835,33.0400702444393,29,20,484.664855957031
362,2020-01-16 01:00,-116.732631532229,33.0798066973672,27,36,0
451,2020-01-19 18:00,-116.817450884824,33.0291698350389,35,27,0
454,2020-01-19 21:00,-116.871348945021,32.9894288456706,31,23,0
455,2020-01-19 22:00,-116.749420988298,33.0186170279249,38,33,0
472,2020-01-20 15:00,-116.813178155326,33.1233075045322,15,14,90
475,2020-01-20 18:00,-116.672268723204,33.080727383947,18,14,60
476,2020-01-20 19:00,-116.727882032504,32.7874195105648,15,14,0
547,2020-01-23 18:00,-116.770066101429,32.9980072531367,20,24,0
588,2020-01-25 11:00,-116.711647667374,33.0109906534503,28,22,0
588,2020-01-25 11:00,-116.717470395436,32.8290041240189,24,21,0
594,2020-01-25 17:00,-116.824122520314,32.9230037650032,20,18,0
682,2020-01-29 09:00,-116.56514285089,33.1614418444413,49,79,0
699,2020-01-30 02:00,-116.779350030044,33.048884515003,52,65,0
712,2020-01-30 15:00,-116.791722438804,32.7681520079579,48,66,0
719,2020-01-30 22:00,-116.853727357698,33.0656832661877,60,74,0
725,2020-01-31 04:00,-116.642176656182,32.880060748512,59,92,0
725,2020-01-31 04:00,-116.917644715581,32.9585044609723,63,84,0
742,2020-01-31 21:00,-116.645478414314,33.0771129533483,64,91,0
742,2020-01-31 21:00,-116.628540852424,33.039482681999,65,92,0
750,2020-02-01 05:00,-116.719700976932,33.0648447260474,58,77,67.0820388793945
761,2020-02-01 16:00,-116.848582924482,32.9143312086807,60,77,0
763,2020-02-01 18:00,-116.906632998817,33.014820069285,71,83,0
771,2020-02-02 02:00,-116.730273986542,32.8175487741807,54,67,0
775,2020-02-02 06:00,-116.898087347832,32.9238556710678,62,52,90
776,2020-02-02 07:00,-116.820484535104,32.7881540594305,61,53,0
776,2020-02-02 07:00,-116.881592210616,32.7525323830005,76,76,0
781,2020-02-02 12:00,-116.76146741338,32.7710092751805,60,71,0
782,2020-02-02 13:00,-116.784393316185,32.931468340901,55,55,540.832641601562
784,2020-02-02 15:00,-116.894327773219,32.9628454994198,62,59,0
