iwx_band,date,lon,lat,erc,bi,wui proximity
14,2020-01-01 13:00,-120.70644300853,39.3917044330026,28,35,0
58,2020-01-03 09:00,-121.054581900318,39.3245165558516,31,37,0
97,2020-01-05 00:00,-120.928599360401,39.1868396274605,13,23,0
103,2020-01-05 06:00,-120.659580300438,39.2145226028972,20,29,3403.64501953125
146,2020-01-07 01:00,-120.782684784897,38.9936470094215,17,25,0
512,2020-01-22 07:00,-120.887061939285,39.0850559641829,20,27,0
740,2020-01-31 19:00,-120.617633671792,39.2138762442573,38,38,6674.916015625
869,2020-02-06 04:00,-120.904435310426,39.3153937736149,44,47,0
906,2020-02-07 17:00,-120.52296143992,39.1740187012871,49,46,10630.7578125
923,2020-02-08 10:00,-120.986381911408,39.1345071572516,42,48,0
960,2020-02-09 23:00,-120.841900531609,39.0025904615709,46,86,0
967,2020-02-10 06:00,-120.93308321196,39.3688458362348,54,84,0
972,2020-02-10 11:00,-120.98951056295,39.2638700224753,53,83,0
992,2020-02-11 07:00,-120.811665464405,38.9885534593019,51,70,0
1015,2020-02-12 06:00,-120.851153925832,39.1916066514675,56,56,0
1047,2020-02-13 14:00,-120.896056804128,39.2223279160169,55,50,0
1062,2020-02-14 05:00,-120.981616342428,39.3228709052248,52,48,0
1086,2020-02-15 05:00,-120.753382095512,39.2763639804387,61,50,0
1134,2020-02-17 05:00,-120.923766297719,38.9996512402506,53,73,0
1147,2020-02-17 18:00,-120.698830033934,39.1032525848873,64,81,483.735473632812
1153,2020-02-18 00:00,-120.684215443816,39.2832003664805,68,60,0
1176,2020-02-18 23:00,-121.014939642898,39.184627730546,58,55,0
1177,2020-02-19 00:00,-120.680940665438,39.3957590379865,69,68,600
1182,2020-02-19 05:00,-120.92761423115,39.2108765415383,58,56,0
1190,2020-02-19 13:00,-120.900462979933,39.0157995536263,59,53,0
1197,2020-02-19 20:00,-120.720251168248,39.2199392023482,67,58,0
1203,2020-02-20 02:00,-120.76793691971,39.101925786184,68,59,67.0820388793945
1204,2020-02-20 03:00,-120.938745455198,39.3890296529419,66,57,0
1231,2020-02-21 06:00,-120.956791235879,39.0710198062071,60,64,0
1252,2020-02-22 03:00,-121.047251287793,39.3243608858415,64,64,0
